[07/07/21 20:21:51:122 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.working_20210707202151 with shards: 1
[07/07/21 20:21:51:132 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.live_20210707202151 with shards: 0
[07/07/21 20:21:51:132 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.live_20210707202151 with shards: 0
[07/07/21 20:21:51:132 GMT]  WARN business.ESIndexAPI: Unable to parse shards from config
[07/07/21 20:21:51:132 GMT]  WARN business.ESIndexAPI: null
[07/07/21 20:21:51:132 GMT]  WARN business.ESIndexAPI: java.base/java.lang.Integer.parseInt(Integer.java:614)
[07/07/21 20:21:51:192 GMT]  INFO business.ESIndexAPI: createIndex : Index created: cluster_d79383318a.live_20210707202151 with shards: 1
[07/07/21 20:21:51:192 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Index created: cluster_d79383318a.live_20210707202151 with shards: 1
[07/07/21 20:21:52:433 GMT]  INFO business.ESIndexAPI: The following indices were deleted: live_20210707202151,working_20210707202151,live_20210707202149,working_20210707202149,live_20210707202148,working_20210707202148,live_20210707202147,working_20210707202147,live_20210707202146,working_20210707202146,live_20210707202145,working_20210707202145,live_20210707202143,working_20210707202143,live_20210707202142,working_20210707202142
[07/07/21 20:21:52:556 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[07/07/21 20:21:52:556 GMT]  INFO junit.RuleWatcher: >>> testDeleteOldIndices[2: 5](com.dotcms.content.elasticsearch.business.ESIndexAPITest) - starting...
[07/07/21 20:21:52:556 GMT]  INFO junit.RuleWatcher: >>>>>>>>>>>>>>>>>>>>>>>>>>
[07/07/21 20:21:52:556 GMT]  INFO business.ESIndexAPI: createIndex : Trying to create index: cluster_d79383318a.working_20210707202152 with shards: 0
[07/07/21 20:21:52:556 GMT]  INFO util.AdminLogger: class com.dotcms.content.elasticsearch.business.ESIndexAPI : createIndex : Trying to create index: cluster_d79383318a.working_20210707202152 with shards: 0
